"indication"|"icd"|"source_data"
Leber's congenital amaurosis|ICD-11: 9B70|public
Lymphatic malformation|ICD-11: LA90.1|public
Malignant solid tumour|ICD-11: 2C10-2F32|public
Marijuana use disorder|ICD-11: 6C41|public
Medical/surgical procedure injury|ICD-11: PK80-PK81|public
Melasma|ICD-11: ED60.1|public
Metastatic digestive system neoplasm|ICD-11: 2D8Y|public
Mild hypocalcemia|ICD-11: 5B5K.1|public
Mitochondrial disease|ICD-11: 5C53.Y|public
Myelofibrosis|ICD-11: 2A20.2|public
Non-small-cell lung cancer|ICD-11: 2C25.Y|public
Obstructive hypertrophic cardiomyopathy|ICD-11: BC43.12|public
Ophthalmic devices/implants/grafts injury|ICD-11: PK97|public
Pancreatic internal secretion disorder|ICD-11: 5A4Y|public
Pancreatic tumour|ICD-11: 2C10|public
Pancytopenia|ICD-11: 3A70.Z|public
Parkinson disease|ICD-11: 8A00.0|public
Pertussis|ICD-11: 1C12|public
Postoperative inflammation|ICD-11: 1A00-CA43.1|public
Pre-eclampsia|ICD-11: JA24|public
Pulmonary sarcoidosis|ICD-11: 4B20.0|public
Radiation syndrome|ICD-11: NF00|public
Retina cancer|ICD-11: 2D02|public
Retina venous occlusion|ICD-11: 9B74.1|public
Retinal detachment|ICD-11: 9B73|public
Retinitis pigmentosa|ICD-11: 9B70|public
Rhinitis|ICD-11: FA20|public
Severe combined immunodeficiency|ICD-11: 4A01.10|public
Sickle-cell disorder|ICD-11: 3A51|public
Spinal cord/cranial nerve neoplasm|ICD-11: 2A02|public
Sweetener|ICD-11: N.A.|public
T-cell acute lymphocytic leukaemia|ICD-11: 2B33.4|public
Transthyretin familial amyloid cardiomyopathy|ICD-11: 5D00.20|public
Ulcer|ICD-11: CA02-CB40|public
Urinary/pelvic organs injury|ICD-11: NB92|public
Vasculitis|ICD-11: 4A44|public
Vitamin B1 deficiency|ICD-11: 5B5A|public
bronchial hyperreactivity|ICD-11: CB40|public
Addison disease|ICD-11: 5A74.0|public
Ankylosing spondylitis|ICD-11: FA92.0|public
Anterior uveitis|ICD-11: 9A96|public
Appearance/behaviour symptom|ICD-11: MB23|public
Ataxia-telangiectasia|ICD-11: 4A01.31|public
Benzodiazepine overdose|ICD-11: PC91|public
Bowel habit change|ICD-11: ME05|public
Cardiac disease|ICD-11: BA00-BE2Z|public
Central precocious puberty|ICD-11: 5A60.3|public
Chronic insomnia|ICD-11: 7A00|public
Chronic myelogenous leukaemia|ICD-11: 2A20.0|public
Coagulation defect|ICD-11: 3B10|public
Coxsackie virus infection|ICD-11: 1D91|public
Cystitis|ICD-11: GC00|public
Deep vein thrombosis|ICD-11: BD71|public
Diabetic nephropathy|ICD-11: GB61.Z|public
Diabetic neuropathy|ICD-11: 8C0Z|public
Dravet syndrome|ICD-11: 8A61.11|public
Dyspareunia|ICD-11: GA12|public
Fetal trimethadione syndrome|ICD-11: LD2F.0Y|public
Flavivirus infection|ICD-11: 1C80|public
Gastric ulcer|ICD-11: DA60|public
Glioblastoma|ICD-11: 2A00|public
Glutamate excitotoxity|ICD-11: 5C73|public
Gonococcal urethritis|ICD-11: 1A70.0Y|public
Haematopoietic/lymphoid cancer|ICD-11: 2B33.5|public
Haemorrhage|ICD-11: MG27|public
Hepatic encephalopathy|ICD-11: DB99.5|public
Hepatitis A virus infection|ICD-11: 1E50.0|public
Hepatitis virus infection|ICD-11: 1E50-1E51|public
Hereditary hemorrhagic telangiectasia|ICD-11: LA90.00|public
High blood pressure|ICD-11: BA00|public
High-risk myelofibrosis|ICD-11: 2A20.2|public
Hormone deficiency|ICD-11: 5A61.1|public
Hormone replacement therapy|ICD-11: 8E01|public
Hydrocephalus|ICD-11: 8D64|public
Hyperphagia|ICD-11: MG43.9|public
Hypopharyngeal squamous cell carcinoma|ICD-11: 2B6D.0|public
IgG4 related disease|ICD-11: 4A43.0|public
Influenza A virus H9N2 infection|ICD-11: 1E30|public
Intracranial embolism|ICD-11: 8B22.1|public
Irritability|ICD-11: MB24|public
Knee pain|ICD-11: ME82|public
Late-stage acute myeloid leukaemia|ICD-11: 2A60|public
Localisation|ICD-11: N.A.|public
Lung disease|ICD-11: CA60-CA8Z|public
Lung structural developmental anomaly|ICD-11: LA75|public
Male hormonal deficiency|ICD-11: 5A81|public
Malignant adrenal gland cancer|ICD-11: 2D11|public
Monkeypox virus infection|ICD-11: 1E71|public
Morning sickness|ICD-11: SC00|public
Mucopolysaccharidosis|ICD-11: 5C56.3|public
Multiple myeloma|ICD-11: 2A83|public
Ocular pain|ICD-11: MC18|public
Premature labour|ICD-11: JB00|public
Primary haemophagocytic lymphohistiocytosis|ICD-11: 4A01.23|public
Prurigo|ICD-11: EC91|public
Rabies|ICD-11: 1C82|public
Skin surgical scar|ICD-11: EL50|public
Smallpox|ICD-11: 1E70|public
Spinal cord injury|ICD-11: ND51.2|public
Stroke|ICD-11: 8B20|public
Type 2 glycogen storage disease|ICD-11: 5C51.3|public
Unspecific body region injury|ICD-11: ND56|public
Ureteral cancer|ICD-11: 2C92|public
Urolithiasis|ICD-11: GB7Z|public
Venom poisoning|ICD-11: NE61|public
Wernicke-Korsakoff Syndrome|ICD-11: 5B5A.1|public
Acinetobacter baumannii infection|ICD-11: CA40.0Y|public
Acute bronchitis|ICD-11: CA42|public
Adrenocortical carcinoma|ICD-11: 2D11.Z|public
Adrenocortical insufficiency|ICD-11: 5A74|public
Anal fissure/fistula|ICD-11: DB50|public
Anca-associated vasculitis|ICD-11: 4A44.A|public
Anhedonia|ICD-11: MB24.2|public
Bacterial pneumonia|ICD-11: CA40.0|public
Charcot marie tooth disease|ICD-11: 8C21.Z|public
Chronic open-angle glaucoma|ICD-11: 9C61.0|public
Common warts|ICD-11: 1E80|public
Complex regional pain syndrome|ICD-11: 8D8A.0|public
Congestive cardiac insufficiency|ICD-11: BD1Z|public
Contracture|ICD-11: FA30-FA34|public
Crigler-najjar syndrome type 1|ICD-11: 5C58.00|public
Dental caries|ICD-11: DA08.0|public
Diabetes insipidus|ICD-11: 5A61.5|public
Diabetic Macular Oedema|ICD-11: 9B71.02|public
Diabetic macular edema|ICD-11: 9B71.02|public
Elevated C-reactive protein|ICD-11: MA14.15|public
Endocrine gland neoplasm|ICD-11: 2F37|public
Ephelides|ICD-11: ED61.0|public
Eyelid inflammatory/movement disorder|ICD-11: 9A05|public
Familial hypercholesterolemia|ICD-11: 5C80.00|public
Female genital tract inflammation|ICD-11: GA0Z|public
Gastroesophageal reflux disease|ICD-11: DA22.Z|public
Genetic epileptic syndromes with variable age of onset|ICD-11: 8A61.4Y|public
Genitourinary disease|ICD-11: GA0Z-GC8Z|public
Gout|ICD-11: FA25|public
H5N1 influenza infection|ICD-11: 1E30|public
Harmful effects of drugs, medicaments or biological substances|ICD-11: NE60|public
Henipavirus encephalitis|ICD-11: 1D63|public
Hypoalbuminemia|ICD-11: 5C53.2|public
Idiopathic interstitial pneumonitis|ICD-11: CB03|public
Idiopathic multicentric Castlemans disease|ICD-11: 2A81.Y|public
Indeterminate colitis|ICD-11: DD72|public
Infectious disease|ICD-11: 1A00-CA43.1|public
Inflammatory skin condition|ICD-11: EF20.Y|public
Ischemia|ICD-11: 8B10-8B11|public
Kidney failure|ICD-11: GB6Z|public
Lip/oral cavity/pharynx neoplasm|ICD-11: 2B6E|public
Locally advanced rectal cancer|ICD-11: 2B92|public
Lumbo-sacral radiculopathy|ICD-11: 8B93.Y|public
Lung infection|ICD-11: CA4Z|public
Malignant carcinoid syndrome|ICD-11: 5B10|public
Malignant mesenchymal neoplasm|ICD-11: 2B5D-2B5Y|public
Methamphetamine dependence|ICD-11: 6C46.2|public
Mucositis|ICD-11: CA00|public
Multi-drug resistant tuberculosis|ICD-11: MG52.00|public
Multiple sclerosis|ICD-11: 8A40|public
Muscle atrophy|ICD-11: FB32.Y|public
Mycobacterium infection|ICD-11: 1B10-1B21|public
Myelofibrosis|ICD-11: 2A22|public
Neurofibromatosis type 2|ICD-11: LD2D.11|public
Nodular prurigo|ICD-11: EC91.0|public
Non-cystic fibrosis bronchiectasis|ICD-11: CA24|public
Obstructive airway disease|ICD-11: CB40.Y|public
Ocular cancer|ICD-11: 2D00-2D07|public
Oculopharyngeal muscular dystrophy|ICD-11: 9C82.1|public
Oedema|ICD-11: MG29|public
Organ transplant rejection|ICD-11: NE84|public
Osteoarthritis|ICD-11: FA00-FA05|public
Osteopathy/chondropathy|ICD-11: FB8Y|public
Ovarian stimulation|ICD-11: LB45.1|public
Palmar hyperhidrosis|ICD-11: EE00.00|public
Pancreatic islet transplantation failure|ICD-11: NE84|public
Panic disorder|ICD-11: 6B01|public
Parvovirus infection|ICD-11: 1D93|public
Perianal fistula|ICD-11: DB50.1|public
Pheumatoid arthritis|ICD-11: FA2Z|public
Plasma cell myeloma|ICD-11: 2A83.1|public
Poliomyelitis|ICD-11: 1C81|public
Postmenopausal vaginal atrophy|ICD-11: GA30.2|public
Preterm labour/delivery|ICD-11: JB00|public
Progressive supranuclear palsy|ICD-11: 8A00.10|public
Prolymphocytic leukaemia|ICD-11: 2A82.1|public
Rectal adenocarcinoma|ICD-11: 2B92|public
Rectum cancer|ICD-11: 2B92|public
Rosacea|ICD-11: ED90.0|public
Scabies|ICD-11: 1G04|public
Shoulder lesion|ICD-11: FB53|public
Skin disease|ICD-11: EA00-EM0Z|public
Skin sensation disturbance|ICD-11: ME65|public
Spastic paralysis|ICD-11: MB5Y|public
Sterilant|ICD-11: N.A.|public
Supraventricular tachyarrhythmia|ICD-11: BC81|public
Surgical site infection|ICD-11: NE81.2|public
Type-1/2 diabete|ICD-11: 5A10-5A11|public
Weight gain|ICD-11: MG43.6|public
Adrenogenital disorder|ICD-11: 5A71|public
Alpha-1-antitrypsin deficiency|ICD-11: 5C5A|public
Amino acid absorption/transport disorder|ICD-11: 5C60|public
Anxiety disorder|ICD-11: 6B00-6B0Z|public
Arthropathy|ICD-11: FA11-FA5Z|public
Aspirin-induced asthma|ICD-11: CA23.20|public
Atypical hemolytic uremic syndrome|ICD-11: 3A10.Y|public
Autoimmune pulmonary alveolar proteinosis|ICD-11: CB04.31|public
Back pain|ICD-11: ME84.Z|public
Blindness|ICD-11: 9D90|public
Bone injury|ICD-11: ND56.Y|public
Chronic myocardial ischemia|ICD-11: BA6Z|public
Chronic post cancer treatment pain|ICD-11: 8E43|public
Coronary artery disease|ICD-11: BA80|public
Coronavirus Disease 2019 (COVID-19)|ICD-11: 1D6Y|public
Coxiella infection|ICD-11: 1C33|public
Cryopyrin-associated periodic syndromes|ICD-11: 4A60.1|public
Cutaneous candidiasis|ICD-11: 1F23.14|public
Diabetic macular degeneration|ICD-11: 9B78|public
Diabetic retinopathy|ICD-11: 9B71.0|public
Ebola virus infection|ICD-11: 1D60.0|public
Esophageal cancer|ICD-11: 2B70|public
Esophagus sensitivity|ICD-11: DA2Y-DA2Z|public
Expectorant|ICD-11: MD10|public
Flatworm infection|ICD-11: 1F70-1F86|public
Gastrointestinal disease|ICD-11: DE2Z|public
Hay fever|ICD-11: CA08.00|public
Heart failure|ICD-11: BD10-BD1Z|public
Heart failure with preserved ejection fraction|ICD-11: BD11.0|public
Heparin-induced thrombocytopenia|ICD-11: 3B64.12|public
Human immunodeficiency virus-1 infection|ICD-11: 1C62|public
Hypothalamic hypogonadism|ICD-11: 5A61.2|public
Idiopathic inflammatory myopathy|ICD-11: 4A41|public
Inflammatory bowel disease|ICD-11: DD72|public
Injury|ICD-11: NA00-ND5Z|public
Lactation failure|ICD-11: JB46.3|public
Leukaemia|ICD-11: 2A60-2B33|public
Mastocytosis|ICD-11: 2A21|public
Microvascular angina|ICD-11: BA86|public
Myxoid round cell liposarcoma|ICD-11: 2B59|public
Non-hodgkin lymphoma|ICD-11: 2B33.5|public
Non-insulin dependent diabetes|ICD-11: 5A11|public
Nystagmus|ICD-11: 9C84|public
Onchocerciasis|ICD-11: 1F6A|public
Ophthalmic infection|ICD-11: 1F00.1|public
Pancreatic ductal carcinoma|ICD-11: 2C10.0|public
Phakomatoses/hamartoneoplastic syndrome|ICD-11: LD2D|public
Pneumocystis pneumonia|ICD-11: CA40.20|public
Polycythemia vera|ICD-11: 2A20.4|public
Primary biliary cholangitis|ICD-11: DB96.1|public
Proctitis|ICD-11: DB33.Z|public
Psychotic disorder|ICD-11: 6A20-6A25|public
Relapsing-remitting multiple sclerosis|ICD-11: 8A40.0|public
Respiratory syncytial virus infection|ICD-11: 1C80|public
Richter syndrome|ICD-11: 2A81.Y|public
Ringworm infection|ICD-11: 1F28|public
Schistosomiasis|ICD-11: 1F86|public
Sexually transmitted infection|ICD-11: 1A9Y-1A9Z|public
Skin burns|ICD-11: ME65.0|public
Small round cell desmoplastic tumour|ICD-11: 2A20.5|public
Social phobia|ICD-11: 6B04|public
Spasm|ICD-11: MB47.3|public
Spontaneous urticaria|ICD-11: EB00|public
Syphilis|ICD-11: 1A61-1A6Z|public
Systemic lupus erythematosus|ICD-11: 4A40.0|public
T lymphoblastic leukaemia|ICD-11: 2B33.4|public
Thalassemia|ICD-11: 3A50|public
Thymoma|ICD-11: 2C27|public
Tinea cruris|ICD-11: 1F28.3|public
Transient ischaemic attack|ICD-11: 8B10|public
Vaginal disease|ICD-11: GA1Y|public
Vascular systems peripheral arterial disorder|ICD-11: BD5Z|public
infection in the ear canal|ICD-11: AA0Y|public
Acute promyelocytic leukaemia|ICD-11: 2A60.0|public
Adenovirus infection|ICD-11: 1A20|public
Anaplastic astrocytoma|ICD-11: 2A00.0|public
Artery stenosis|ICD-11: BD52|public
Arthropathy|ICD-11: FA11-FA38|public
Articular cartilage disorder|ICD-11: FA34.Y|public
Asthma|ICD-11: CA23|public
Ataxic disorder|ICD-11: 8A03|public
Basal cell nevus syndrome|ICD-11: 2C32|public
Bladder disorder|ICD-11: GC01|public
Blood transfusion|ICD-11: QB98|public
Bone induction|ICD-11: FC0Z|public
Bone related disease|ICD-11: FB82-FB85|public
CLN3 Batten disease|ICD-11: 5C56|public
Cervical cancer|ICD-11: 2C77|public
Cervical dilation|ICD-11: JB02.0|public
Chronic fatigue syndrome|ICD-11: 8E49|public
Cold agglutinin disease|ICD-11: 3A20.1|public
Congenital adrenal hyperplasia|ICD-11: 5A71.01|public
Congenital hyperinsulinism|ICD-11: 5A4Y|public
Coronary atherosclerosis|ICD-11: BA80|public
Cutaneous lupus erythematosus|ICD-11: EB5Z|public
Cutaneous wart|ICD-11: 1E80|public
Dermatomycosis|ICD-11: EA60|public
Diabetic complication|ICD-11: 5A2Y|public
Dyskinesia|ICD-11: MB47.4|public
Dyslipidemia|ICD-11: 5C80-5C81|public
Endotoxic shock|ICD-11: 1G41|public
Examination of eyes or vision|ICD-11: QA00.6|public
Excessive bleeding|ICD-11: GA30.02|public
Fanconi's anemia|ICD-11: 3A70.0|public
Generalized myasthenia gravis|ICD-11: 8C60|public
Germ cell tumour|ICD-11: 2C80.2|public
Growth failure|ICD-11: LD2F.1Y|public
Histamine H3-associated disorder|ICD-11: NE61|public
Hypercalciuria|ICD-11: MF98.0|public
Implantation failure|ICD-11: QB50|public
Infestations of lice and scabies|ICD-11: 1G00.Z|public
Inflammatory arthritis|ICD-11: FA2Z|public
MRSA infection|ICD-11: 1D01.0Y|public
Malignant perivascular epithelioid cell tumour|ICD-11: 2B5Y|public
Mediastinal large B-cell lymphoma|ICD-11: 2A60.32|public
Metabolism inborn error|ICD-11: 5C50|public
Narcolepsy|ICD-11: 7A20|public
Nasal congestion|ICD-11: MD11.9|public
Nasal polyp|ICD-11: CA0J|public
Nematode infection|ICD-11: 1F60-1F69|public
Obstructive lung disease|ICD-11: CA22.Z|public
Oesophagus motility disorder|ICD-11: DA21|public
Oropharyngeal squamous cell carcinoma|ICD-11: 2B6A.0|public
Pertussis|ICD-11: 1C12.Z|public
Poisoning due to pesticides and chemicals|ICD-11: NE6Z|public
Pulmonary eosinophilia|ICD-11: CB02|public
Skin imperfections|ICD-11: EK71|public
Skin ulcer|ICD-11: ME60.Z|public
Small intestine developmental anomaly|ICD-11: DA90|public
Stem cell engraftment|ICD-11: QB63.8|public
Stimulants use disorder|ICD-11: 6C46|public
Subarachnoid haemorrhage|ICD-11: 8B01|public
Thrombotic stroke|ICD-11: 8B20|public
Tuberculosis|ICD-11: 1B10-1B12|public
Urticaria|ICD-11: EB00-EB05|public
Varicella|ICD-11: 1E90|public
Vitamin D deficiency|ICD-11: 5B57|public
Vulvovaginitis|ICD-11: GA02.0|public
West nile virus infection|ICD-11: 1D46|public
X-rays imaging|ICD-11: N.A.|public
Acidosis|ICD-11: 5C73|public
Aniridia|ICD-11: LA11.3|public
Aplastic anemia|ICD-11: 3A70|public
Brain and central nervous system tumour|ICD-11: 2A00.11|public
Cancer cachexia|ICD-11: MG20.0|public
Cartilage lesions|ICD-11: NC93.3Z|public
Chronic blistering skin disorder|ICD-11: ME63.3|public
Coagulation defect|ICD-11: 3B10.0|public
Congenital ichthyosiform erythroderma|ICD-11: EC20.02|public
Congenital plasminogen activator inhibitor type 1 deficiency|ICD-11: 3B50.1|public
Cytomegaloviral disease|ICD-11: 1D82|public
Cytomegalovirus infection|ICD-11: 1D82|public
Dengue|ICD-11: 1D20-1D2Z|public
Dermal necrosis|ICD-11: MC85|public
Diffuse systemic sclerosis|ICD-11: 4A42.1|public
Diuretic vasodilator|ICD-11: BA00|public
Esophageal squamous cell carcinoma|ICD-11: 2E60.1|public
Exacerbation of acute asthma|ICD-11: CA23.30|public
Glycogen storage disease type IA|ICD-11: 5C51.3|public
HIV-infected patients with tuberculosis|ICD-11: 1B10-1B14|public
Hepatic metastasis|ICD-11: 2D80|public
Herpetic keratitis|ICD-11: 1F00.10|public
Hormonally-responsive breast cancer|ICD-11: 2C60-2C65|public
Hospital-acquired pneumonia|ICD-11: CA40.Z|public
Hypertrophic cardiomyopathy|ICD-11: BC43.1|public
Hypoparathyroidism|ICD-11: 5A50|public
Hypotension|ICD-11: BA20-BA21|public
Infectious gastroenteritis/colitis|ICD-11: 1A40|public
Influenza A virus H7N1 infection|ICD-11: 1E30|public
Intellectual development disorder|ICD-11: LD90|public
LennoxGastaut syndrome|ICD-11: 8A62.1|public
Leukocyte adhesion deficiency type 1|ICD-11: 4A00.0Y|public
Memory loss|ICD-11: MB21.1Z|public
Menopausal disorder|ICD-11: GA30|public
Motor neuron disease|ICD-11: 8B60|public
Muscular wasting|ICD-11: 8C7Y|public
Myalgia|ICD-11: FB56.2|public
Mydriasis|ICD-11: LA11.62|public
Myeloma|ICD-11: 2A83|public
Myocardial disease|ICD-11: BC43.20|public
Nausea/vomiting|ICD-11: MD90|public
Neurological disorder|ICD-11: 6B60|public
Neurological toxicity disorder|ICD-11: 8D43|public
Newborn muscle tone disorder|ICD-11: KB08|public
Nipah virus infection|ICD-11: 1D63|public
Obsessive-compulsive disorder|ICD-11: 6B20|public
Oral cavity squamous cell carcinoma|ICD-11: 2B6E.0|public
Pediculosis|ICD-11: 1G00|public
Pemphigus|ICD-11: EB40|public
Pest attack|ICD-11: N.A.|public
Polymyositis|ICD-11: 4A41.1|public
Pseudomonas infection|ICD-11: 1B92|public
Ragweed hypersensitivity allergic disease|ICD-11: 4A8Z|public
Refractory sickle cell ulcers|ICD-11: 3A51|public
Relapsed or refractory chronic lymphocytic leukaemia|ICD-11: 2A82.0|public
Retinoblastoma|ICD-11: 2D02.2|public
Sciatica/lumbar radicular pain|ICD-11: ME84.3|public
Seasonal influenza infection|ICD-11: 1E30|public
Shock|ICD-11: MG40|public
Skeletal anomaly|ICD-11: LD24|public
Skin allergy|ICD-11: 4A82|public
Sphingolipidosis|ICD-11: 5C56.0|public
T-cell acute lymphoblastic leukaemia|ICD-11: 2A90.5|public
Thrombin deficiency|ICD-11: 3B14.Z|public
Thrombosis|ICD-11: DB61-GB90|public
Trichotillomania|ICD-11: 6B25.0|public
Triple negative breast cancer|ICD-11: 2C60-2C65|public
Urothelial carcinoma|ICD-11: 2C92.0|public
Ventricular arrhythmias|ICD-11: BC71|public
Viral encephalitis|ICD-11: 1C80|public
Absence seizure|ICD-11: 8A68.2|public
Acute respiratory failure|ICD-11: CB41.0|public
Agitation|ICD-11: 6A70.3|public
Aneurysm|ICD-11: BD51.Z|public
Anorexia nervosa cachexia|ICD-11: 6B80|public
Apnea|ICD-11: MD11.0|public
Bone marrow transplantation|ICD-11: QB63.6|public
Brain disease|ICD-11: 8C70-8E61|public
Cardiomyopathy|ICD-11: BC43|public
Choriocarcinoma|ICD-11: 2C75.0|public
Chronic lymphocytic leukaemia|ICD-11: 2A82.0|public
Common wart|ICD-11: 1E80|public
Dementia|ICD-11: 6D80-6D8Z|public
Dermal ulcers|ICD-11: 1A36|public
Dermatophytosis|ICD-11: 1F28|public
Essential thrombocythemia|ICD-11: 3B63.1Z|public
Facial pain|ICD-11: MB6Y|public
Fracture|ICD-11: ND56|public
Friedreich's ataxia|ICD-11: 8A03.10|public
Functional bowel syndrome|ICD-11: DD91.0|public
Hantavirus infection|ICD-11: 1D62|public
Inborn porphyrin/heme metabolism error|ICD-11: 5C58|public
Influenza virus infection|ICD-11: 1E30-1E32|public
Intestinal cancer|ICD-11: 2C0Z|public
Iron deficiency anaemia|ICD-11: 3A00|public
